名称,地址,快充数量,慢充数量,支付方式,充电费,服务费,停车费,开放时间,链接,location,district,lng_wgs,lat_wgs
特来电上海中铁二十四局充电站,上海市市辖区杨浦区邯郸路8号中国钢铁交易大厦,0,18,充电吧APP,"00:00~06:00:0.45,06:00~08:00:0.814,08:00~11:00:1.267,11:00~18:00:0.814,18:00~21:00:1.267,21:00~22:00:0.814,22:00~24:00:0.45
","00:00~06:00:0.8000,06:00~08:00:0.8000,08:00~11:00:0.8000,11:00~18:00:0.8000,18:00~21:00:0.8000,21:00~22:00:0.8000,22:00~24:00:0.8000",10元/小时（收费标准仅供参考，以现场实际收费为准）,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=4494,"121.490475,31.293861",杨浦区,121.48600408744217,31.295823939299357
特来电上海五角场万达充电站,上海市市辖区杨浦区国宾路36号B2,0,22,充电吧APP,00:00~24:00:1.25,00:00~24:00:0.8000,10元/小时（仅供参考，以场地实际费用为准）,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=6056,"121.513286,31.300720",杨浦区,121.50889655727762,31.30274837987248
特来电上海曹安景林苑充电站,上海市市辖区嘉定区嘉定曹安公路4908号,0,2,充电吧APP,00:00~24:00:1.3,00:00~24:00:0.8000,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=7058,"121.204744,31.288029",嘉定区,121.20027733897871,31.289990880002073
特来电上海通利大厦充电站,上海市市辖区静安区南京西路969号,2,12,充电吧APP,00:00~24:00:1.1,00:00~24:00:0.8000,15元/小时（仅供参考，以场地实际费用为准）,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=9550,"121.458940,31.229367",静安区,121.45437215735011,31.231272208211045
特来电上海惠民停车场充电站,上海市市辖区浦东新区浦东新区华洲南路18号,1,3,充电吧APP,00:00~24:00:1.1,00:00~24:00:0.8000,5元/小时，每天20元（仅供参考，以场地实际费用为准）,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=9645,"121.774793,31.185226",浦东新区,121.77044160314125,31.187273988156647
特来电上海马桥万科城充电站,上海市市辖区闵行区银春路2200弄,2,4,充电吧APP,00:00~24:00:1.3,00:00~24:00:0.8000,6元/小时（仅供参考，以现场实际收费为准）,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=17551,"121.295741,31.203463",闵行区,121.29126936906933,31.205460593737566
特来电上海欧亚美马陆店充电站,上海市市辖区嘉定区宝安公路3690号,2,0,充电吧APP,00:00~24:00:1.35,00:00~24:00:0.8000,5元/小时（仅供参考，以现场实际收费为准）,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=18127,"121.269900,31.327244",嘉定区,121.26545500697951,31.32921874606895
特来电上海嘉定西云楼充电站,上海市市辖区嘉定区洪德路与裕民南路西地块商业地库停车位,1,3,充电吧APP,00:00~24:00:1.3,00:00~24:00:0.8000,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=21568,"121.260826,31.357828",嘉定区,121.25638551917099,31.359797520788547
特来电上海禹洲蓝爵充电站,上海市市辖区浦东新区金港路199弄6号,3,0,充电吧APP,00:00~24:00:1.3,00:00~24:00:0.8000,4元/时（仅供参考，以场地实际收费为准）,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=21947,"121.610496,31.257298",浦东新区,121.60629112257624,31.259484893390855
特来电上海梅赛德斯奔驰文化中心充电站,上海市市辖区浦东新区世博大道1200号,6,0,充电吧APP,00:00~24:00:1.2,00:00~24:00:0.8000,10元/时（仅供参考，以场地方实际收费为准）,开放时间：周一至周日09:00-22:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=23167,"121.493166,31.188482",浦东新区,121.48871369683168,31.190500487046748
普洛斯上海虹桥北物流园,普洛斯虹桥物流园北区,2,0,支付宝、微信,不详,不详,不详,开放时间：全天开放,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=42526,"121.284649,31.223703",闵行区,121.28019436222702,31.22570626046575
普洛斯上海虹桥西物流园,华徐公路589号,8,0,支付宝、微信,不详,不详,不详,开放时间：全天开放,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=42527,"121.263892,31.192902",青浦区,121.25946349582453,31.194938662458277
普洛斯上海闵行物流园,莲花南路3000号,4,0,支付宝、微信,不详,不详,不详,开放时间：全天开放,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=42528,"121.431810,31.060366",闵行区,121.42719675775754,31.062309855604752
特来电上海红塔大酒店充电站,上海市市辖区浦东新区东方路889号,6,0,其他,"00:00~06:00:0.2749,06:00~08:00:0.6436,08:00~11:00:1.1352,11:00~18:00:0.6436,18:00~19:00:1.1352,19:00~21:00:1.4117,21:00~22:00:0.6436,22:00~24:00:0.2749
","00:00~06:00:0.7550,06:00~08:00:0.5100,08:00~11:00:0.4050,11:00~13:00:0.5100,13:00~15:00:0.4050,15:00~18:00:0.5100,18:00~21:00:0.4050,21:00~22:00:0.5100,22:00~24:00:0.7550",不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=42586,"121.528309,31.223872",浦东新区,121.5239774437162,31.225975917294956
上海闵行区沈杜公路电动汽车充电站,浦江镇轨交8号线沈杜公路P+R地铁站,8,3,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-21:00:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=47108,"121.513248,31.060281",闵行区,121.50887869930818,31.062428779896724
上海闵行区乐购超市莘庄店电动汽车充电站,七莘路695号,8,7,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=47122,"121.372018,31.118982",闵行区,121.36739809637591,31.120892500744475
上海闵行区浦晓南路停车场（卜蜂莲花）电动汽车充电站,浦星公路江月路卜蜂莲花停车场,8,4,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=47123,"121.509518,31.083301",闵行区,121.50513349249815,31.085424665623634
上海嘉定区顺驰兰郡别墅电动汽车充电点,百安公路2999号,0,9,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=47176,"121.173180,31.354420",嘉定区,121.16864807011706,31.356302386334114
上海嘉定区骏丰广场电动汽车充电站,上海市嘉定区沪宜公路139号,16,0,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=47188,"121.318990,31.290702",嘉定区,121.31446244417917,31.292620417900388
上海嘉定区嘉美路电动汽车充电站,上海市嘉定区沪宜公路-嘉美路路口（嘉闵高架下停车场）,8,0,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=47206,"121.276964,31.301162",嘉定区,121.2725133945787,31.303140425520994
上海嘉定区宝翔路大桥电动汽车充电站,上海市嘉定区嘉绣东路-宝翔路大桥下,8,0,"充电卡,二维码,账户余额",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=47207,"121.288323,31.325273",嘉定区,121.28385392244125,31.327229045581863
G1501上海绕城高速庄行服务区（上海绕城）电动汽车充电站,G1501上海绕城高速庄行服务区（上海绕城方向）,4,0,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=47394,"121.395041,30.888550",奉贤区,121.39042043492881,30.89057670728333
上海徐汇区中山西路高架桥停车场电动汽车充电站,上海市徐汇区漕溪路三汇路高架桥荫停车场内,8,3,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=56148,"121.434552,31.179424",徐汇区,121.42993294241958,31.1813069515146
上海嘉定区华翔路电动汽车充电站,上海市嘉定区华翔路-金昌路路口,8,0,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=56320,"121.272906,31.291625",嘉定区,121.26846094110012,31.293610955295673
S2沪芦高速临港服务区（上海方向）电动汽车充电站,S2沪芦高速临港服务区（上海方向）,4,0,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=56323,"121.804281,30.916888",浦东新区,121.8000077997382,30.919126887951954
G1501上海绕城高速合庆服务区西（上海绕城）电动汽车充电站,G1501上海绕城高速合庆服务区西（上海绕城）,4,0,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=56329,"121.803856,31.158456",浦东新区,121.79956169455195,31.16055579897432
上海浦东新区轨交11号线秀沿路电动汽车充电站,秀沿路罗山路地铁站旁,8,8,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=56336,"121.600181,31.132758",浦东新区,121.59598809478341,31.13500944658156
上海浦东新区珊考机动车检测维修服务有限公司电动汽车充电站,康桥镇浦三路3633号珊考机动车检测维修服务有限公司,8,3,"充电卡,二维码,账户余额",不详,不详,不详,开放时间：08:00:00-17:00:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=56344,"121.547808,31.134562",浦东新区,121.54354173608984,31.13675808197198
上海闵行区百安居电动汽车充电站,上海市闵行区顾戴路108号,20,0,"充电卡,二维码,账户余额",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=65583,"121.406278,31.146552",闵行区,121.40163432756464,31.148429168273243
上海闵行区向阳路S4莘奉金高速电动汽车充电站,上海市闵行区向阳路1369号,8,0,"充电卡,二维码,账户余额",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=65586,"121.415518,31.066432",闵行区,121.41088559201582,31.06835686917504
上海松江区新桥电动汽车充电站,莘砖公路150号（近G60沪昆高速新桥收费处）,6,0,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=65796,"121.327276,31.092642",松江区,121.3227466344824,31.094641797511557
上海浦东新区森宏大润发电动汽车充电站,长清路1200弄大润发停车场,8,7,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=72453,"121.492142,31.149288",浦东新区,121.48768936504872,31.151323524635107
上海浦东新区泥城镇人民政府电动汽车充电站,上海市浦东新区泥城支路2号（泥城中学对面）,8,0,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=72459,"121.830245,30.904225",浦东新区,121.82603727095744,30.906518559947905
上海浦东新区下沙集贸市场电动汽车充电站,沪南路鹤立西路路口向西,8,0,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=72469,"121.558812,31.172499",浦东新区,121.55456892008017,31.1746962534739
上海松江区嘉立广场电动汽车充电站,上海市松江区广富林路699弄,8,0,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=72491,"121.243917,31.055568",松江区,121.23950595077649,31.057682027523665
G60沪昆高速枫泾服务区（昆明方向）电动汽车充电站,G60沪杭高速枫泾服务区（昆明方向）,16,0,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=72497,"121.037329,30.890538",金山区,121.03284465228529,30.892647085384016
G60沪昆高速枫泾服务区（上海方向）电动汽车充电站,G60沪杭高速枫泾服务区（上海方向）,12,0,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=72498,"121.037329,30.890538",金山区,121.03284465228529,30.892647085384016
上海金山区枫泾社区服务中心电动汽车充电站,枫杰路51号,8,0,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=72503,"121.020454,30.890862",金山区,121.01602496320004,30.893016259133283
上海金山区区政府会议中心电动汽车充电站,金山大道1980号,8,0,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=72514,"121.344763,30.741508",金山区,121.34022465611504,30.74367603979664
上海松江区泗泾文化中心（东）电动汽车充电站,鼓浪路588号东,8,0,"充电卡,二维码",不详,不详,不详,开放时间：00:00:00-23:59:59,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=72551,"121.271392,31.115740",松江区,121.26696344646689,31.11781193340561
特来电高合充电站（上海悠方购物广场）,上海市市辖区杨浦区殷行路1388号,15,5,其他,00:00~24:00:1.0,"00:00~06:00:0.8000,06:00~08:00:0.8000,08:00~11:00:0.4000,11:00~13:00:0.8000,13:00~15:00:0.4000,15:00~18:00:0.8000,18:00~21:00:0.4000,21:00~22:00:0.8000,22:00~24:00:0.8000",不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=79649,"121.507796,31.329957",杨浦区,121.50338445319332,31.331958127406907
露虹二期快充站,都市路659号入场250米南侧,22,0,支付宝、微信,不详,不详,不详,开放时间：全天开放,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=83469,"121.419411,31.040226",闵行区,121.41478403949348,31.042168592012235
特来电上海歌斐香溢广场充电站,上海市市辖区普陀区石泉东路256号,11,3,其他,"00:00~06:00:0.2749,06:00~08:00:0.6436,08:00~11:00:1.1352,11:00~18:00:0.6436,18:00~19:00:1.1352,19:00~21:00:1.4117,21:00~22:00:0.6436,22:00~24:00:0.2749
","00:00~06:00:0.6763,06:00~08:00:0.5046,08:00~11:00:0.3382,11:00~13:00:0.5046,13:00~15:00:0.3382,15:00~18:00:0.5046,18:00~21:00:0.3382,21:00~22:00:0.5046,22:00~24:00:0.6763",不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=87643,"121.431934,31.255009",普陀区,121.42730406971353,31.256852592861286
特来电上海兆益科技园充电站,上海市市辖区长宁区天山路8号,0,8,其他,"00:00~06:00:0.3119,06:00~08:00:0.7361,08:00~12:00:1.3017,12:00~14:00:1.6198,14:00~15:00:1.3017,15:00~18:00:0.7361,18:00~21:00:1.3017,21:00~22:00:0.7361,22:00~24:00:0.3119
",00:00~24:00:0.3500,10分钟内免费，超时5元/小时。,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=87743,"121.377968,31.216276",长宁区,121.37333210948022,31.218130197837123
特来电上海迪士尼P2停车场充电站,上海市市辖区浦东新区灵感街与申迪东路交叉口东200米,26,0,其他,"00:00~06:00:0.2749,06:00~08:00:0.6436,08:00~11:00:1.1352,11:00~18:00:0.6436,18:00~19:00:1.1352,19:00~21:00:1.4117,21:00~22:00:0.6436,22:00~24:00:0.2749
","00:00~06:00:0.5870,06:00~08:00:0.4330,08:00~11:00:0.2840,11:00~13:00:0.4330,13:00~15:00:0.2840,15:00~18:00:0.4330,18:00~21:00:0.2840,21:00~22:00:0.4330,22:00~24:00:0.5870",不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=87777,"121.675311,31.136216",浦东新区,121.6710222482636,31.13836718990423
特来电上海新梅联合广场充电站,上海市市辖区浦东新区浦东南路999号,0,4,其他,00:00~24:00:1.05,00:00~24:00:0.5500,15分钟内免费，首小时收费10元，第2小时起每半小时收费5元。,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=87813,"121.516128,31.229462",浦东新区,121.51175460544471,31.23152921402943
特来电上海铁力路示范充电站,上海市市辖区宝山区铁力路1508号,100,0,其他,"00:00~06:00:0.3045,06:00~08:00:0.7177,08:00~12:00:1.2685,12:00~14:00:1.5784,14:00~15:00:1.2685,15:00~18:00:0.7177,18:00~21:00:1.2685,21:00~22:00:0.7177,22:00~24:00:0.3045
","00:00~06:00:0.5870,06:00~08:00:0.4330,08:00~11:00:0.2840,11:00~13:00:0.4330,13:00~15:00:0.2840,15:00~18:00:0.4330,18:00~21:00:0.2840,21:00~22:00:0.4330,22:00~24:00:0.5870",不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=87817,"121.463536,31.396661",宝山区,121.45896690291045,31.398514251101425
特来电上海新业坊充电站,上海市市辖区宝山区逸仙路1328号,0,119,其他,00:00~24:00:1.0,00:00~24:00:0.8000,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=87863,"121.483836,31.318393",宝山区,121.47933959333308,31.320326960961495
特来电上海佳预广场充电站,上海市市辖区松江区九亭镇沪松公路1177号,20,0,其他,"00:00~06:00:0.2749,06:00~08:00:0.6436,08:00~11:00:1.1352,11:00~18:00:0.6436,18:00~19:00:1.1352,19:00~21:00:1.4117,21:00~22:00:0.6436,22:00~24:00:0.2749
","00:00~06:00:0.5870,06:00~08:00:0.4330,08:00~11:00:0.2840,11:00~13:00:0.4330,13:00~15:00:0.0840,15:00~18:00:0.4330,18:00~21:00:0.2840,21:00~22:00:0.4330,22:00~24:00:0.5870",不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=88797,"121.329681,31.144534",松江区,121.32514172011116,31.14650089510578
特来电上海仙乐斯广场充电站,上海市市辖区黄浦区南京西路388号,14,0,其他,"00:00~06:00:0.3024,06:00~08:00:0.708,08:00~11:00:1.2487,11:00~18:00:0.708,18:00~19:00:1.2487,19:00~21:00:1.4117,21:00~22:00:0.708,22:00~24:00:0.3024
","00:00~06:00:0.7712,06:00~08:00:0.6038,08:00~11:00:0.5199,11:00~13:00:0.6038,13:00~15:00:0.5199,15:00~18:00:0.6038,18:00~21:00:0.5199,21:00~22:00:0.6038,22:00~24:00:0.7712",不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=89369,"121.469024,31.231440",黄浦区,121.46448590681064,31.233369286613797
特来电黄浦区华旭国际大厦充电站,上海市市辖区黄浦区西藏中路336,0,3,其他,00:00~24:00:1.5,00:00~24:00:0.8000,以场地实际收费为准,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=89373,"121.475835,31.233751",黄浦区,121.471318667689,31.235697582218037
特来电上海博荟广场充电站,上海市市辖区黄浦区龙华东路319-455号,13,26,其他,00:00~24:00:0.75,00:00~24:00:0.8000,具体收费以场地方为准,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=89374,"121.482121,31.196831",黄浦区,121.47762907648317,31.198812886684312
特来电上海凯进路充电站,上海市市辖区徐汇区宜山路425号,24,0,其他,"00:00~06:00:0.392,06:00~08:00:0.79,08:00~11:00:1.205,11:00~18:00:0.79,18:00~19:00:1.205,19:00~21:00:1.767,21:00~22:00:0.79,22:00~24:00:0.392
","00:00~06:00:0.6520,06:00~08:00:0.5010,08:00~11:00:0.3340,11:00~13:00:0.5010,13:00~15:00:0.3340,15:00~18:00:0.5010,18:00~21:00:0.3340,21:00~22:00:0.5010,22:00~24:00:0.6520",不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=89399,"121.428622,31.183807",徐汇区,121.42399331792411,31.1856800321864
特来电上海黄浦来福士广场充电站,上海市市辖区黄浦区西藏中路268号,20,44,其他,"00:00~08:00:0.8,08:00~20:00:0.8,20:00~24:00:0.8
",00:00~24:00:1.1000,20元每小时首小时20元，第二小时开始，每半小时10元，每24小时封顶价160元,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=89402,"121.476581,31.232275",黄浦区,121.47206727140819,31.23422433086938
特来电上海滨江万科中心充电站,上海市市辖区浦东新区民生路118号地下车库B2层,5,0,其他,"00:00~06:00:0.2749,06:00~08:00:0.6436,08:00~11:00:1.1352,11:00~18:00:0.6436,18:00~19:00:1.1352,19:00~21:00:1.4117,21:00~22:00:0.6436,22:00~24:00:0.2749
","00:00~06:00:0.7870,06:00~08:00:0.6330,08:00~11:00:0.4840,11:00~13:00:0.6330,13:00~15:00:0.4840,15:00~18:00:0.6330,18:00~21:00:0.4840,21:00~22:00:0.6330,22:00~24:00:0.7870",不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=89603,"121.538882,31.244819",浦东新区,121.53458162687377,31.246940252184267
特来电上海海航大厦（快充）充电站,上海市市辖区浦东新区浦明路898号地下B2层过道闸右手边,7,0,其他,"00:00~06:00:0.2749,06:00~08:00:0.6436,08:00~11:00:1.1352,11:00~18:00:0.6436,18:00~19:00:1.1352,19:00~21:00:1.4117,21:00~22:00:0.6436,22:00~24:00:0.2749
","00:00~06:00:0.786,06:00~08:00:0.593,08:00~11:00:0.405,11:00~13:00:0.593,13:00~15:00:0.405,15:00~18:00:0.593,18:00~21:00:0.405,21:00~22:00:0.593,22:00~24:00:0.786",不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90241,"121.513411,31.217575",浦东新区,121.50902903213094,31.219639856849554
馨越公寓IV,上海市千阳南路99弄,0,16,其他,不详,不详,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90297,"121.365361,31.229519",普陀区,121.36074154230441,31.231381972323653
古北陆翔苑,上海市宝山区陆翔路358弄-古北陆翔苑94号楼东侧地面车位ST01-ST10号车位。,0,10,其他,不详,不详,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90299,"121.339129,31.400516",宝山区,121.33454635672028,31.402358655735412
爱建顾园西区,上海市宝山区菊盛路50弄-小区61号楼北侧地面车位3台；64号楼东侧地面车位9台。,0,12,其他,不详,不详,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90301,"121.374596,31.349924",宝山区,121.36995256829445,31.35172703357072
塘泾南苑,上海市闵行区曹家塘路220弄,0,12,其他,不详,不详,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90302,"121.446006,31.041642",闵行区,121.44142160254556,31.043619449872843
虹梅景苑二街坊,上海市闵行区尚义路229弄8号楼旁边，356/358车位。,0,10,其他,不详,不详,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90303,"121.450682,31.042014",闵行区,121.44610859177585,31.04400047182956
虹梅景苑三街坊,上海市闵行区尚义路459弄1~18号,0,10,其他,不详,不详,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90304,"121.448880,31.045805",闵行区,121.44430190516641,31.047785620974256
虹梅景苑四街坊,上海市闵行区尚义路428弄10号楼155/156车位,0,8,其他,不详,不详,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90305,"121.450936,31.045602",闵行区,121.44636290904587,31.047586918136986
上坤红树湾,上海市松江区光星路1855弄-上坤红树湾18号楼东面车位01~06号。,0,6,其他,不详,不详,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90307,"121.241430,31.061119",松江区,121.23701800555983,31.063229187788544
爱建顾园北区,上海市宝山区菊盛路186弄-小区4幢10号楼北面地面停车位,0,3,其他,不详,不详,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90308,"121.372665,31.351847",宝山区,121.36802395982878,31.35365156730706
爱建顾园东区,上海市宝山区菊泉街39弄--爱建顾园东区7号楼北侧12台。,0,12,其他,不详,不详,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90309,"121.378548,31.351439",宝山区,121.37389966501931,31.35323745471386
共富二村一期,上海市宝山区联谊路350弄-58号楼北侧,0,9,其他,不详,不详,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90310,"121.433351,31.345570",宝山区,121.42871546205083,31.347380007935005
海棠馨苑南区,上海市青浦区乐天路208弄-乐天路入口1-3号楼西南方向。,0,9,其他,不详,不详,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90311,"121.242196,31.179984",青浦区,121.23777416006813,31.182029921163906
海棠馨苑北区,上海市青浦区乐天路318弄21号南侧东向西依次六个车位。,0,6,其他,不详,不详,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90312,"121.241997,31.181716",青浦区,121.23757497047657,31.183760992302002
鑫鑫花园,上海市宝山区联泰路56号.,0,10,其他,不详,不详,不详,开放时间：周一至周日00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90313,"121.428943,31.346069",宝山区,121.42430063433439,31.347873186967796
